ICD_CODE,LONG_DESCRIPTION,CHARLSON_GROUP
I98.20,"Oesophageal varices in diseases classified elsewhere, without mention of bleeding",SEVERE_LIVER_DISEASE
I98.21,"Oesophageal varices in diseases classified elsewhere, with bleeding",SEVERE_LIVER_DISEASE
J40.,"Bronchitis, not specified as acute or chronic",PULMONARY_DISEASE
J41.0,Simple chronic bronchitis,PULMONARY_DISEASE
J41.1,Mucopurulent chronic bronchitis,PULMONARY_DISEASE
J41.8,Mixed simple and mucopurulent chronic bronchitis,PULMONARY_DISEASE
J42.,Unspecified chronic bronchitis,PULMONARY_DISEASE
J43.0,MacLeod's syndrome,PULMONARY_DISEASE
J43.1,Panlobular emphysema,PULMONARY_DISEASE
J43.2,Centrilobular emphysema,PULMONARY_DISEASE
J43.8,Other emphysema,PULMONARY_DISEASE
J43.9,"Emphysema, unspecified",PULMONARY_DISEASE
J44.0,Chronic obstructive pulmonary disease with acute lower respiratory infection,PULMONARY_DISEASE
J44.1,"Chronic obstructive pulmonary disease with acute exacerbation, unspecified",PULMONARY_DISEASE
J44.8,Other specified chronic obstructive pulmonary disease,PULMONARY_DISEASE
J44.9,"Chronic obstructive pulmonary disease, unspecified",PULMONARY_DISEASE
J45.0,Predominantly allergic asthma,PULMONARY_DISEASE
J45.1,Nonallergic asthma,PULMONARY_DISEASE
J45.8,Mixed asthma,PULMONARY_DISEASE
J45.9,"Asthma, unspecified",PULMONARY_DISEASE
J46.,Status asthmaticus,PULMONARY_DISEASE
J47.,Bronchiectasis,PULMONARY_DISEASE
J60.,Coalworker's pneumoconiosis,PULMONARY_DISEASE
J61.,Pneumoconiosis due to asbestos and other mineral fibres,PULMONARY_DISEASE
J62.0,Pneumoconiosis due to talc dust,PULMONARY_DISEASE
J62.8,Pneumoconiosis due to other dust containing silica,PULMONARY_DISEASE
J63.0,Aluminosis (of lung),PULMONARY_DISEASE
J63.1,Bauxite fibrosis (of lung),PULMONARY_DISEASE
J63.2,Berylliosis,PULMONARY_DISEASE
J63.3,Graphite fibrosis (of lung),PULMONARY_DISEASE
J63.4,Siderosis,PULMONARY_DISEASE
J63.5,Stannosis,PULMONARY_DISEASE
J63.8,Pneumoconiosis due to other specified inorganic dusts,PULMONARY_DISEASE
J64.,Unspecified pneumoconiosis,PULMONARY_DISEASE
J65.,Pneumoconiosis associated with tuberculosis,PULMONARY_DISEASE
J66.0,Byssinosis,PULMONARY_DISEASE
J66.1,Flax-dresser's disease,PULMONARY_DISEASE
J66.2,Cannabinosis,PULMONARY_DISEASE
J66.8,Airway disease due to other specific organic dusts,PULMONARY_DISEASE
J67.0,Farmer's lung,PULMONARY_DISEASE
J67.1,Bagassosis,PULMONARY_DISEASE
J67.2,Bird fancier's lung,PULMONARY_DISEASE
J67.3,Suberosis,PULMONARY_DISEASE
J67.4,Maltworker's lung,PULMONARY_DISEASE
J67.5,Mushroom-worker's lung,PULMONARY_DISEASE
J67.6,Maple-bark-stripper's lung,PULMONARY_DISEASE
J67.7,Air-conditioner and humidifier lung,PULMONARY_DISEASE
J67.8,Hypersensitivity pneumonitis due to other organic dusts,PULMONARY_DISEASE
J67.9,Hypersensitivity pneumonitis due to unspecified organic dust,PULMONARY_DISEASE
J68.4,"Chronic respiratory conditions due to chemicals, gases, fumes and vapours",PULMONARY_DISEASE
J70.1,Chronic and other pulmonary manifestations due to radiation,PULMONARY_DISEASE
J70.3,Chronic drug-induced interstitial lung disorders,PULMONARY_DISEASE
K25.0,"Gastric ulcer, acute with haemorrhage",PEPTIC_ULCER
K25.1,"Gastric ulcer, acute with perforation",PEPTIC_ULCER
K25.2,"Gastric ulcer, acute with both haemorrhage and perforation",PEPTIC_ULCER
K25.3,"Gastric ulcer, acute without haemorrhage or perforation",PEPTIC_ULCER
K25.4,"Gastric ulcer, chronic or unspecified with haemorrhage",PEPTIC_ULCER
K25.5,"Gastric ulcer, chronic or unspecified with perforation",PEPTIC_ULCER
K25.6,"Gastric ulcer, chronic or unspecified with both haemorrhage and perforation",PEPTIC_ULCER
K25.7,"Gastric ulcer, chronic without haemorrhage or perforation",PEPTIC_ULCER
K25.9,"Gastric ulcer, unspecified as acute or chronic, without haemorrhage or perforation",PEPTIC_ULCER
K26.0,"Duodenal ulcer, acute with haemorrhage",PEPTIC_ULCER
K26.1,"Duodenal ulcer, acute with perforation",PEPTIC_ULCER
K26.2,"Duodenal ulcer, acute with both haemorrhage and perforation",PEPTIC_ULCER
K26.3,"Duodenal ulcer, acute without haemorrhage or perforation",PEPTIC_ULCER
K26.4,"Duodenal ulcer, chronic or unspecified with haemorrhage",PEPTIC_ULCER
K26.5,"Duodenal ulcer, chronic or unspecified with perforation",PEPTIC_ULCER
K26.6,"Duodenal ulcer, chronic or unspecified with both haemorrhage and perforation",PEPTIC_ULCER
K26.7,"Duodenal ulcer, chronic without haemorrhage or perforation",PEPTIC_ULCER
K26.9,"Duodenal ulcer, unspecified as acute or chronic, without haemorrhage or perforation",PEPTIC_ULCER
K27.0,"Peptic ulcer, acute with haemorrhage",PEPTIC_ULCER
K27.1,"Peptic ulcer, acute with perforation",PEPTIC_ULCER
K27.2,"Peptic ulcer, acute with both haemorrhage and perforation",PEPTIC_ULCER
K27.3,"Peptic ulcer, acute without haemorrhage or perforation",PEPTIC_ULCER
K27.4,"Peptic ulcer, chronic or unspecified with haemorrhage",PEPTIC_ULCER
K27.5,"Peptic ulcer, chronic or unspecified with perforation",PEPTIC_ULCER
K27.6,"Peptic ulcer, chronic or unspecified with both haemorrhage and perforation",PEPTIC_ULCER
K27.7,"Peptic ulcer, chronic without haemorrhage or perforation",PEPTIC_ULCER
K27.9,"Peptic ulcer, unspecified as acute or chronic, without haemorrhage or perforation",PEPTIC_ULCER
K28.0,"Gastrojejunal ulcer, acute with haemorrhage",PEPTIC_ULCER
K28.1,"Gastrojejunal ulcer, acute with perforation",PEPTIC_ULCER
K28.2,"Gastrojejunal ulcer, acute with both haemorrhage and perforation",PEPTIC_ULCER
K28.3,"Gastrojejunal ulcer, acute without haemorrhage or perforation",PEPTIC_ULCER
K28.4,"Gastrojejunal ulcer, chronic or unspecified with haemorrhage",PEPTIC_ULCER
K28.5,"Gastrojejunal ulcer, chronic or unspecified with perforation",PEPTIC_ULCER
K28.6,"Gastrojejunal ulcer, chronic or unspecified with both haemorrhage and perforation",PEPTIC_ULCER
K28.7,"Gastrojejunal ulcer, chronic without haemorrhage or perforation",PEPTIC_ULCER
K28.9,"Gastrojejunal ulcer, unspecified as acute or chronic, without haemorrhage or perforation",PEPTIC_ULCER
K55.1,Chronic vascular disorders of intestine,PVD
K55.8,Other vascular disorders of intestine,PVD
K55.9,"Vascular disorder of intestine, unspecified",PVD
K70.0,Alcoholic fatty liver,MILD_LIVER_DISEASE
K70.1,Alcoholic hepatitis,MILD_LIVER_DISEASE
K70.2,Alcoholic fibrosis and sclerosis of liver,MILD_LIVER_DISEASE
K70.3,Alcoholic cirrhosis of liver,MILD_LIVER_DISEASE
K70.4,Alcoholic hepatic failure,SEVERE_LIVER_DISEASE
K70.9,"Alcoholic liver disease, unspecified",MILD_LIVER_DISEASE
K71.1,Toxic liver disease with hepatic necrosis,SEVERE_LIVER_DISEASE
K71.3,Toxic liver disease with chronic persistent hepatitis,MILD_LIVER_DISEASE
K71.4,Toxic liver disease with chronic lobular hepatitis,MILD_LIVER_DISEASE
K71.5,Toxic liver disease with chronic active hepatitis,MILD_LIVER_DISEASE
K71.7,Toxic liver disease with fibrosis and cirrhosis of liver,MILD_LIVER_DISEASE
K72.1,Chronic hepatic failure,SEVERE_LIVER_DISEASE
K72.9,"Hepatic failure, unspecified",SEVERE_LIVER_DISEASE
K73.0,"Chronic persistent hepatitis, not elsewhere classified",MILD_LIVER_DISEASE
K73.1,"Chronic lobular hepatitis, not elsewhere classified",MILD_LIVER_DISEASE
K73.2,"Chronic active hepatitis, not elsewhere classified",MILD_LIVER_DISEASE
K73.8,"Other chronic hepatitis, not elsewhere classified",MILD_LIVER_DISEASE
K73.9,"Chronic hepatitis, unspecified",MILD_LIVER_DISEASE
K74.0,Hepatic fibrosis,MILD_LIVER_DISEASE
K74.1,Hepatic sclerosis,MILD_LIVER_DISEASE
K74.2,Hepatic fibrosis with hepatic sclerosis,MILD_LIVER_DISEASE
K74.3,Primary biliary cirrhosis,MILD_LIVER_DISEASE
K74.4,Secondary biliary cirrhosis,MILD_LIVER_DISEASE
K74.5,"Biliary cirrhosis, unspecified",MILD_LIVER_DISEASE
K74.6,Other and unspecified cirrhosis of liver,MILD_LIVER_DISEASE
K76.0,"Fatty (change of) liver, not elsewhere classified",MILD_LIVER_DISEASE
K76.2,Central haemorrhagic necrosis of liver,MILD_LIVER_DISEASE
K76.3,Infarction of liver,MILD_LIVER_DISEASE
K76.4,Peliosis hepatis,MILD_LIVER_DISEASE
K76.5,Hepatic veno-occlusive disease,SEVERE_LIVER_DISEASE
K76.6,Portal hypertension,SEVERE_LIVER_DISEASE
K76.7,Hepatorenal syndrome,SEVERE_LIVER_DISEASE
K76.8,Other specified diseases of liver,MILD_LIVER_DISEASE
K76.9,"Liver disease, unspecified",MILD_LIVER_DISEASE
M05.00,"Felty's syndrome, multiple sites",RHEUMATOLOGIC_DISEASE
M05.01,"Felty's syndrome, shoulder region",RHEUMATOLOGIC_DISEASE
M05.02,"Felty's syndrome, upper arm",RHEUMATOLOGIC_DISEASE
M05.03,"Felty's syndrome, forearm",RHEUMATOLOGIC_DISEASE
M05.04,"Felty's syndrome, hand",RHEUMATOLOGIC_DISEASE
M05.05,"Felty's syndrome, pelvic region and thigh",RHEUMATOLOGIC_DISEASE
M05.06,"Felty's syndrome, lower leg",RHEUMATOLOGIC_DISEASE
M05.07,"Felty's syndrome, ankle and foot",RHEUMATOLOGIC_DISEASE
M05.08,"Felty's syndrome, other site",RHEUMATOLOGIC_DISEASE
M05.09,"Felty's syndrome, site unspecified",RHEUMATOLOGIC_DISEASE
M05.20,"Rheumatoid vasculitis, multiple sites",RHEUMATOLOGIC_DISEASE
M05.21,"Rheumatoid vasculitis, shoulder region",RHEUMATOLOGIC_DISEASE
M05.22,"Rheumatoid vasculitis, upper arm",RHEUMATOLOGIC_DISEASE
M05.23,"Rheumatoid vasculitis, forearm",RHEUMATOLOGIC_DISEASE
M05.24,"Rheumatoid vasculitis, hand",RHEUMATOLOGIC_DISEASE
M05.25,"Rheumatoid vasculitis, pelvic region and thigh",RHEUMATOLOGIC_DISEASE
M05.26,"Rheumatoid vasculitis, lower leg",RHEUMATOLOGIC_DISEASE
M05.27,"Rheumatoid vasculitis, ankle and foot",RHEUMATOLOGIC_DISEASE
M05.28,"Rheumatoid vasculitis, other site",RHEUMATOLOGIC_DISEASE
M05.29,"Rheumatoid vasculitis, site unspecified",RHEUMATOLOGIC_DISEASE
M05.30,"Rheumatoid arthritis with involvement of other organs and systems, multiple sites",RHEUMATOLOGIC_DISEASE
M05.31,"Rheumatoid arthritis with involvement of other organs and systems, shoulder region",RHEUMATOLOGIC_DISEASE
M05.32,"Rheumatoid arthritis with involvement of other organs and systems, upper arm",RHEUMATOLOGIC_DISEASE
M05.33,"Rheumatoid arthritis with involvement of other organs and systems, forearm",RHEUMATOLOGIC_DISEASE
M05.34,"Rheumatoid arthritis with involvement of other organs and systems, hand",RHEUMATOLOGIC_DISEASE
M05.35,"Rheumatoid arthritis with involvement of other organs and systems, pelvic region and thigh",RHEUMATOLOGIC_DISEASE
M05.36,"Rheumatoid arthritis with involvement of other organs and systems, lower leg",RHEUMATOLOGIC_DISEASE
M05.37,"Rheumatoid arthritis with involvement of other organs and systems, ankle and foot",RHEUMATOLOGIC_DISEASE
M05.38,"Rheumatoid arthritis with involvement of other organs and systems, other site",RHEUMATOLOGIC_DISEASE
M05.39,"Rheumatoid arthritis with involvement of other organs and systems, site unspecified",RHEUMATOLOGIC_DISEASE
M05.80,"Other seropositive rheumatoid arthritis, multiple sites",RHEUMATOLOGIC_DISEASE
M05.81,"Other seropositive rheumatoid arthritis, shoulder region",RHEUMATOLOGIC_DISEASE
M05.82,"Other seropositive rheumatoid arthritis, upper arm",RHEUMATOLOGIC_DISEASE
M05.83,"Other seropositive rheumatoid arthritis, forearm",RHEUMATOLOGIC_DISEASE
M05.84,"Other seropositive rheumatoid arthritis, hand",RHEUMATOLOGIC_DISEASE
M05.85,"Other seropositive rheumatoid arthritis, pelvic region and thigh",RHEUMATOLOGIC_DISEASE
M05.86,"Other seropositive rheumatoid arthritis, lower leg",RHEUMATOLOGIC_DISEASE
M05.87,"Other seropositive rheumatoid arthritis, ankle and foot",RHEUMATOLOGIC_DISEASE
M05.88,"Other seropositive rheumatoid arthritis, other site",RHEUMATOLOGIC_DISEASE
M05.89,"Other seropositive rheumatoid arthritis, site unspecified",RHEUMATOLOGIC_DISEASE
M05.90,"Seropositive rheumatoid arthritis, unspecified, multiple sites",RHEUMATOLOGIC_DISEASE
M05.91,"Seropositive rheumatoid arthritis, unspecified, shoulder region",RHEUMATOLOGIC_DISEASE
M05.92,"Seropositive rheumatoid arthritis, unspecified, upper arm",RHEUMATOLOGIC_DISEASE
M05.93,"Seropositive rheumatoid arthritis, unspecified, forearm",RHEUMATOLOGIC_DISEASE
M05.94,"Seropositive rheumatoid arthritis, unspecified, hand",RHEUMATOLOGIC_DISEASE
M05.95,"Seropositive rheumatoid arthritis, unspecified, pelvic region and thigh",RHEUMATOLOGIC_DISEASE
M05.96,"Seropositive rheumatoid arthritis, unspecified, lower leg",RHEUMATOLOGIC_DISEASE
M05.97,"Seropositive rheumatoid arthritis, unspecified, ankle and foot",RHEUMATOLOGIC_DISEASE
M05.98,"Seropositive rheumatoid arthritis, unspecified, other site",RHEUMATOLOGIC_DISEASE
M05.99,"Seropositive rheumatoid arthritis, unspecified, site unspecified",RHEUMATOLOGIC_DISEASE
M06.00,"Seronegative rheumatoid arthritis, multiple sites",RHEUMATOLOGIC_DISEASE
M06.01,"Seronegative rheumatoid arthritis, shoulder region",RHEUMATOLOGIC_DISEASE
M06.02,"Seronegative rheumatoid arthritis, upper arm",RHEUMATOLOGIC_DISEASE
M06.03,"Seronegative rheumatoid arthritis, forearm",RHEUMATOLOGIC_DISEASE
M06.04,"Seronegative rheumatoid arthritis, hand",RHEUMATOLOGIC_DISEASE
M06.05,"Seronegative rheumatoid arthritis, pelvic region and thigh",RHEUMATOLOGIC_DISEASE
M06.06,"Seronegative rheumatoid arthritis, lower leg",RHEUMATOLOGIC_DISEASE
M06.07,"Seronegative rheumatoid arthritis, ankle and foot",RHEUMATOLOGIC_DISEASE
M06.08,"Seronegative rheumatoid arthritis, other site",RHEUMATOLOGIC_DISEASE
M06.09,"Seronegative rheumatoid arthritis, site unspecified",RHEUMATOLOGIC_DISEASE
M06.10,"Adult-onset Still's disease, multiple sites",RHEUMATOLOGIC_DISEASE
M06.11,"Adult-onset Still's disease, shoulder arm",RHEUMATOLOGIC_DISEASE
M06.12,"Adult-onset Still's disease, upper arm",RHEUMATOLOGIC_DISEASE
M06.13,"Adult-onset Still's disease, forearm",RHEUMATOLOGIC_DISEASE
M06.14,"Adult-onset Still's disease, hand",RHEUMATOLOGIC_DISEASE
M06.15,"Adult-onset Still's disease, pelvic region and thigh",RHEUMATOLOGIC_DISEASE
M06.16,"Adult-onset Still's disease, lower leg",RHEUMATOLOGIC_DISEASE
M06.17,"Adult-onset Still's disease, ankle and foot",RHEUMATOLOGIC_DISEASE
M06.18,"Adult-onset Still's disease, other site",RHEUMATOLOGIC_DISEASE
M06.19,"Adult-onset Still's disease, site unspecified",RHEUMATOLOGIC_DISEASE
M06.20,"Rheumatoid bursitis, multiple sites",RHEUMATOLOGIC_DISEASE
M06.21,"Rheumatoid bursitis, shoulder region",RHEUMATOLOGIC_DISEASE
M06.22,"Rheumatoid bursitis, upper arm",RHEUMATOLOGIC_DISEASE
M06.23,"Rheumatoid bursitis, forearm",RHEUMATOLOGIC_DISEASE
M06.24,"Rheumatoid bursitis, hand",RHEUMATOLOGIC_DISEASE
M06.25,"Rheumatoid bursitis, pelvic region and thigh",RHEUMATOLOGIC_DISEASE
M06.26,"Rheumatoid bursitis, lower leg",RHEUMATOLOGIC_DISEASE
M06.27,"Rheumatoid bursitis, ankle and foot",RHEUMATOLOGIC_DISEASE
M06.28,"Rheumatoid bursitis, other site",RHEUMATOLOGIC_DISEASE
M06.29,"Rheumatoid bursitis, site unspecified",RHEUMATOLOGIC_DISEASE
M06.30,"Rheumatoid nodule, multiple sites",RHEUMATOLOGIC_DISEASE
M06.31,"Rheumatoid nodule, shoulder region",RHEUMATOLOGIC_DISEASE
M06.32,"Rheumatoid nodule, upper arm",RHEUMATOLOGIC_DISEASE
M06.33,"Rheumatoid nodule, forearm",RHEUMATOLOGIC_DISEASE
M06.34,"Rheumatoid nodule, hand",RHEUMATOLOGIC_DISEASE
M06.35,"Rheumatoid nodule, pelvic region and thigh",RHEUMATOLOGIC_DISEASE
M06.36,"Rheumatoid nodule, lower leg",RHEUMATOLOGIC_DISEASE
M06.37,"Rheumatoid nodule, ankle and foot",RHEUMATOLOGIC_DISEASE
M06.38,"Rheumatoid nodule, other site",RHEUMATOLOGIC_DISEASE
M06.39,"Rheumatoid nodule, site unspecified",RHEUMATOLOGIC_DISEASE
M06.40,"Inflammatory polyarthropathy, multiple sites",RHEUMATOLOGIC_DISEASE
M06.41,"Inflammatory polyarthropathy, shoulder region",RHEUMATOLOGIC_DISEASE
M06.42,"Inflammatory polyarthropathy, upper arm",RHEUMATOLOGIC_DISEASE
M06.43,"Inflammatory polyarthropathy, forearm",RHEUMATOLOGIC_DISEASE
M06.44,"Inflammatory polyarthropathy, hand",RHEUMATOLOGIC_DISEASE
M06.45,"Inflammatory polyarthropathy, pelvic region and thigh",RHEUMATOLOGIC_DISEASE
M06.46,"Inflammatory polyarthropathy, lower leg",RHEUMATOLOGIC_DISEASE
M06.47,"Inflammatory polyarthropathy, ankle and foot",RHEUMATOLOGIC_DISEASE
M06.48,"Inflammatory polyarthropathy, other site",RHEUMATOLOGIC_DISEASE
M06.49,"Inflammatory polyarthropathy, site unspecified",RHEUMATOLOGIC_DISEASE
M06.80,"Other specified rheumatoid arthritis, multiple sites",RHEUMATOLOGIC_DISEASE
M06.81,"Other specified rheumatoid arthritis, shoulder region",RHEUMATOLOGIC_DISEASE
M06.82,"Other specified rheumatoid arthritis, upper arm",RHEUMATOLOGIC_DISEASE
M06.83,"Other specified rheumatoid arthritis, forearm",RHEUMATOLOGIC_DISEASE
M06.84,"Other specified rheumatoid arthritis, hand",RHEUMATOLOGIC_DISEASE
M06.85,"Other specified rheumatoid arthritis, pelvic region and thigh",RHEUMATOLOGIC_DISEASE
M06.86,"Other specified rheumatoid arthritis, lower leg",RHEUMATOLOGIC_DISEASE
M06.87,"Other specified rheumatoid arthritis, ankle and foot",RHEUMATOLOGIC_DISEASE
M06.88,"Other specified rheumatoid arthritis, other site",RHEUMATOLOGIC_DISEASE
M06.89,"Other specified rheumatoid arthritis, site unspecified",RHEUMATOLOGIC_DISEASE
M06.90,"Rheumatoid arthritis, unspecified, multiple sites",RHEUMATOLOGIC_DISEASE
M06.91,"Rheumatoid arthritis, unspecified, shoulder region",RHEUMATOLOGIC_DISEASE
M06.92,"Rheumatoid arthritis, unspecified, upper arm",RHEUMATOLOGIC_DISEASE
M06.93,"Rheumatoid arthritis, unspecified, forearm",RHEUMATOLOGIC_DISEASE
M06.94,"Rheumatoid arthritis, unspecified, hand",RHEUMATOLOGIC_DISEASE
M06.95,"Rheumatoid arthritis, unspecified, pelvic region and thigh",RHEUMATOLOGIC_DISEASE
M06.96,"Rheumatoid arthritis, unspecified, lower leg",RHEUMATOLOGIC_DISEASE
M06.97,"Rheumatoid arthritis, unspecified, ankle and foot",RHEUMATOLOGIC_DISEASE
M06.98,"Rheumatoid arthritis, unspecified, other site",RHEUMATOLOGIC_DISEASE
M06.99,"Rheumatoid arthritis, unspecified, site unspecified",RHEUMATOLOGIC_DISEASE
M31.5,Giant cell arteritis with polymyalgia rheumatica,RHEUMATOLOGIC_DISEASE
M32.0,Drug-induced systemic lupus erythematosus,RHEUMATOLOGIC_DISEASE
M32.1,Systemic lupus erythematosus with organ or system involvement,RHEUMATOLOGIC_DISEASE
M32.8,Other forms of systemic lupus erythematosus,RHEUMATOLOGIC_DISEASE
M32.9,"Systemic lupus erythematosus, unspecified",RHEUMATOLOGIC_DISEASE
M33.0,Juvenile dermatomyositis,RHEUMATOLOGIC_DISEASE
M33.1,Other dermatomyositis,RHEUMATOLOGIC_DISEASE
M33.2,Polymyositis,RHEUMATOLOGIC_DISEASE
M33.9,"Dermatopolymyositis, unspecified",RHEUMATOLOGIC_DISEASE
M34.0,Progressive systemic sclerosis,RHEUMATOLOGIC_DISEASE
M34.1,CR(E)ST syndrome,RHEUMATOLOGIC_DISEASE
M34.2,Systemic sclerosis induced by drugs and chemicals,RHEUMATOLOGIC_DISEASE
M34.8,Other forms of systemic sclerosis,RHEUMATOLOGIC_DISEASE
M34.9,"Systemic sclerosis, unspecified",RHEUMATOLOGIC_DISEASE
M35.1,Other overlap syndromes,RHEUMATOLOGIC_DISEASE
M35.3,Polymyalgia rheumatica,RHEUMATOLOGIC_DISEASE
M36.0,Dermato(poly)myositis in neoplastic disease (C00-D48+),RHEUMATOLOGIC_DISEASE
N03.2,"Chronic nephritic syndrome, diffuse membranous glomerulonephritis",RENAL_DISEASE
N03.3,"Chronic nephritic syndrome, diffuse mesangial proliferative glomerulonephritis",RENAL_DISEASE
N03.4,"Chronic nephritic syndrome, diffuse endocapillary proliferative glomerulonephritis",RENAL_DISEASE
N03.5,"Chronic nephritic syndrome, diffuse mesangiocapillary glomerulonephritis",RENAL_DISEASE
N03.6,"Chronic nephritic syndrome, dense deposit disease",RENAL_DISEASE
N03.7,"Chronic nephritic syndrome, diffuse crescentic glomerulonephritis",RENAL_DISEASE
N05.2,"Unspecified nephritic syndrome, diffuse membranous glomerulonephritis",RENAL_DISEASE
N05.3,"Unspecified nephritic syndrome, diffuse mesangial proliferative glomerulonephritis",RENAL_DISEASE
N05.4,"Unspecified nephritic syndrome, diffuse endocapillary proliferative glomerulonephritis",RENAL_DISEASE
N05.5,"Unspecified nephritic syndrome, diffuse mesangiocapillary glomerulonephritis",RENAL_DISEASE
N05.6,"Unspecified nephritic syndrome, dense deposit disease",RENAL_DISEASE
N05.7,"Unspecified nephritic syndrome, diffuse crescentic glomerulonephritis",RENAL_DISEASE
N18.0,End-stage renal disease,RENAL_DISEASE
N18.8,Other chronic renal failure,RENAL_DISEASE
N18.9,"Chronic kidney disease, unspecified",RENAL_DISEASE
N18.90,Unspecified chronic renal failure,RENAL_DISEASE
N18.91,Chronic renal impairment,RENAL_DISEASE
N19.,Unspecified kidney failure,RENAL_DISEASE
N25.0,Renal osteodystrophy,RENAL_DISEASE
P29.0,Neonatal cardiac failure,CHF
Z49.0,Preparatory care for dialysis,RENAL_DISEASE
Z49.1,Extracorporeal dialysis,RENAL_DISEASE
Z49.2,Other dialysis,RENAL_DISEASE
Z94.0,Kidney transplant status,RENAL_DISEASE
Z94.4,Liver transplant status,MILD_LIVER_DISEASE
Z95.8,Presence of other cardiac and vascular implants and grafts,PVD
Z95.9,"Presence of cardiac and vascular implant and graft, unspecified",PVD
Z99.2,Dependence on kidney dialysis,RENAL_DISEASE
E10.00,"Insulin-dependent diabetes mellitus with coma, not stated as uncontrolled",DIABETES
E10.01,Type 1 diabetes mellitus with hyperosmolarity without nonketotic hyperglycaemic-hyperosmolar coma (NKHHC),DIABETES
E10.10,"Insulin-dependent diabetes mellitus with ketoacidosis, not stated as uncontrolled",DIABETES
E10.60,"Insulin-dependent diabetes mellitus with other specified complications, not stated as uncontrolled",DIABETES
E10.70,"Insulin-dependent diabetes mellitus with multiple complications, not stated as uncontrolled",DIABETES_COMPLICATIONS
E10.80,"Insulin-dependent diabetes mellitus with unspecified complications, not stated as uncontrolled",DIABETES
E10.81,"Insulin-dependent diabetes mellitus with unspecified complications, stated as uncontrolled",DIABETES
E10.90,"Insulin-dependent diabetes mellitus without complications, not stated as uncontrolled",DIABETES
E10.91,"Insulin-dependent diabetes mellitus without complications, stated as uncontrolled",DIABETES
E11.00,"Non-insulin-dependent diabetes mellitus with coma, not stated as uncontrolled",DIABETES
E11.10,"Non-insulin-dependent diabetes mellitus with ketoacidosis, not stated as uncontrolled",DIABETES
E11.60,"Non-insulin-dependent diabetes mellitus with other specified complications, not stated as uncontrolled",DIABETES
E11.70,"Non-insulin-dependent diabetes mellitus with multiple complications, not stated as uncontrolled",DIABETES_COMPLICATIONS
E11.80,"Non-insulin-dependent diabetes mellitus with unspecified complications, not stated as uncontrolled",DIABETES
E11.81,"Non-insulin-dependent diabetes mellitus with unspecified complications, stated as uncontrolled",DIABETES
E11.90,"Non-insulin-dependent diabetes mellitus without complications, not stated as uncontrolled",DIABETES
E11.91,"Non-insulin-dependent diabetes mellitus without complications, stated as uncontrolled",DIABETES
E13.00,"Other specified diabetes mellitus with coma, not stated as uncontrolled",DIABETES
E13.10,"Other specified diabetes mellitus with ketoacidosis, not stated as uncontrolled",DIABETES
E13.60,"Other specified diabetes mellitus with other specified complications, not stated as uncontrolled",DIABETES
E13.70,"Other specified diabetes mellitus with multiple complications, not stated as uncontrolled",DIABETES_COMPLICATIONS
E13.80,"Other specified diabetes mellitus with unspecified complications, not stated as uncontrolled",DIABETES
E13.81,"Other specified diabetes mellitus with unspecified complications, stated as uncontrolled",DIABETES
E13.90,"Other specified diabetes mellitus without complications, not stated as uncontrolled",DIABETES
E13.91,"Other specified diabetes mellitus without complications, stated as uncontrolled",DIABETES
E14.00,"Unspecified diabetes mellitus with coma, not stated as uncontrolled",DIABETES
E14.10,"Unspecified diabetes mellitus with ketoacidosis, not stated as uncontrolled",DIABETES
E14.60,"Unspecified diabetes mellitus with other specified complications, not stated as uncontrolled",DIABETES
E14.70,"Unspecified diabetes mellitus with multiple complications, not stated as uncontrolled",DIABETES_COMPLICATIONS
E14.80,"Unspecified diabetes mellitus with unspecified complications, not stated as uncontrolled",DIABETES
E14.81,"Unspecified diabetes mellitus with unspecified complications, stated as uncontrolled",DIABETES
E14.90,"Unspecified diabetes mellitus without complications, not stated as uncontrolled",DIABETES
E14.91,"Unspecified diabetes mellitus without complications, stated as uncontrolled",DIABETES
C81.,Hodgkin lymphoma,CANCER
E10.40,Type 1 diabetes mellitus with unspecified neuropathy,DIABETES_COMPLICATIONS
E10.61,Type 1 diabetes mellitus with specified diabetic musculoskeletal and connective tissue complication,DIABETES
E10.62,Type 1 diabetes mellitus with specified skin and subcutaneous tissue complication,DIABETES
E10.63,Type 1 diabetes mellitus with specified periodontal complication,DIABETES
E11.40,Type 2 diabetes mellitus with unspecified neuropathy,DIABETES_COMPLICATIONS
E11.61,Type 2 diabetes mellitus with specified diabetic musculoskeletal and connective tissue complication,DIABETES
E11.62,Type 2 diabetes mellitus with specified skin and subcutaneous tissue complication,DIABETES
E11.63,Type 2 diabetes mellitus with specified periodontal complication,DIABETES
E13.01,"Other specified diabetes mellitus with hyperosmolarity, without nonketotic hyperglycaemic-hyperosmolar coma [NKHHC]",DIABETES
E13.11,"Other specified diabetes mellitus with ketoacidosis, without coma",DIABETES
E13.21,Other specified diabetes mellitus with incipient diabetic nephropathy,DIABETES_COMPLICATIONS
E13.31,Other specified diabetes mellitus with background retinopathy,DIABETES_COMPLICATIONS
E13.40,Other specified diabetes mellitus with unspecified neuropathy,DIABETES_COMPLICATIONS
E13.41,Other specified diabetes mellitus with diabetic mononeuropathy,DIABETES_COMPLICATIONS
E13.51,"Other specified diabetes mellitus with peripheral angiopathy, without gangrene",DIABETES_COMPLICATIONS
